time,type,x,y
2025-07-08 16:44:29, realtime,391.75,263.37
2025-07-08 16:44:29, realtime,391.75,263.37
2025-07-08 16:44:29, realtime,391.75,263.37
2025-07-08 16:44:30, predict,371.92,263.06
2025-07-08 16:44:30, predict,371.92,263.06
2025-07-08 16:44:31, predict,391.75,263.37
2025-07-08 16:44:32, predict,391.75,263.37
2025-07-08 16:44:32, realtime,391.71,263.20
2025-07-08 16:44:32, realtime,391.71,263.20
2025-07-08 16:44:32, realtime,391.71,263.20
2025-07-08 16:44:32, realtime,391.71,263.20
2025-07-08 16:44:32, predict,371.88,262.24
2025-07-08 16:44:33, predict,371.88,262.24
2025-07-08 16:44:34, predict,391.71,263.20
2025-07-08 16:44:34, predict,391.71,263.20
2025-07-08 16:44:35, realtime,391.72,263.14
2025-07-08 16:44:35, realtime,391.72,263.14
2025-07-08 16:44:35, realtime,391.72,263.14
2025-07-08 16:44:35, realtime,391.72,263.14
2025-07-08 16:44:35, predict,371.87,262.07
2025-07-08 16:44:36, predict,371.87,262.07
2025-07-08 16:44:36, predict,391.72,263.14
2025-07-08 16:44:37, predict,391.72,263.14
2025-07-08 16:44:38, realtime,391.54,262.19
2025-07-08 16:44:38, realtime,391.54,262.19
2025-07-08 16:44:38, realtime,391.54,262.19
2025-07-08 16:44:38, realtime,391.54,262.19
2025-07-08 16:44:38, predict,391.54,262.19
2025-07-08 16:44:39, predict,391.54,262.19
2025-07-08 16:44:39, predict,371.79,262.03
2025-07-08 16:44:40, predict,371.79,262.03
2025-07-08 16:44:41, realtime,391.44,262.10
2025-07-08 16:44:41, realtime,391.44,262.10
2025-07-08 16:44:41, realtime,391.44,262.10
2025-07-08 16:44:41, realtime,391.44,262.10
2025-07-08 16:44:41, predict,391.44,262.10
2025-07-08 16:44:42, predict,391.44,262.10
2025-07-08 16:44:42, predict,371.72,261.82
2025-07-08 16:44:43, predict,371.72,261.82
2025-07-08 16:44:43, realtime,391.42,262.15
2025-07-08 16:44:43, realtime,391.42,262.15
2025-07-08 16:44:43, realtime,391.42,262.15
2025-07-08 16:44:44, predict,391.42,262.15
2025-07-08 16:44:44, predict,391.42,262.15
2025-07-08 16:44:45, predict,371.57,261.66
2025-07-08 16:44:45, predict,371.57,261.66
2025-07-08 16:44:46, realtime,391.32,262.03
2025-07-08 16:44:46, realtime,391.32,262.03
2025-07-08 16:44:46, realtime,391.32,262.03
2025-07-08 16:44:46, predict,391.32,262.03
2025-07-08 16:44:47, predict,391.32,262.03
2025-07-08 16:44:47, predict,371.24,261.50
2025-07-08 16:44:48, predict,371.24,261.50
2025-07-08 16:44:48, realtime,391.35,262.07
2025-07-08 16:44:48, realtime,391.35,262.07
2025-07-08 16:44:48, realtime,391.35,262.07
2025-07-08 16:44:49, predict,391.35,262.07
2025-07-08 16:44:49, predict,391.35,262.07
2025-07-08 16:44:50, predict,370.66,261.56
2025-07-08 16:44:50, predict,370.66,261.56
2025-07-08 16:44:51, realtime,391.33,262.18
2025-07-08 16:44:51, realtime,391.33,262.18
2025-07-08 16:44:51, realtime,391.33,262.18
2025-07-08 16:44:51, predict,391.33,262.18
2025-07-08 16:44:52, predict,391.33,262.18
2025-07-08 16:44:52, predict,370.61,261.31
2025-07-08 16:44:53, predict,370.61,261.31
2025-07-08 16:44:53, realtime,391.32,262.41
2025-07-08 16:44:53, realtime,391.32,262.41
2025-07-08 16:44:53, predict,391.32,262.41
2025-07-08 16:44:54, predict,391.32,262.41
2025-07-08 16:44:54, predict,370.51,261.47
2025-07-08 16:44:55, predict,370.51,261.47
2025-07-08 16:44:55, realtime,391.31,262.67
2025-07-08 16:44:55, realtime,391.31,262.67
2025-07-08 16:44:55, predict,391.31,262.67
2025-07-08 16:44:56, predict,391.31,262.67
2025-07-08 16:44:56, predict,370.49,261.74
2025-07-08 16:44:56, predict,370.49,261.74
2025-07-08 16:44:57, realtime,391.45,262.98
2025-07-08 16:44:57, realtime,391.45,262.98
2025-07-08 16:44:57, predict,391.45,262.98
2025-07-08 16:44:58, predict,391.45,262.98
2025-07-08 16:44:58, predict,370.29,262.76
2025-07-08 16:44:58, predict,370.29,262.76
2025-07-08 16:44:59, realtime,391.51,263.18
2025-07-08 16:44:59, realtime,391.51,263.18
2025-07-08 16:44:59, predict,391.51,263.18
2025-07-08 16:45:00, predict,391.51,263.18
